;C   	!               	x a-addr --                   	store cell in memory 
;Z   	!CF             	adrs cfa --                   	set code action of a word 
;Z   	!COLON          	--                            	change code field to DOCOLON 
;Z   	!DEST           	dest adrs --                  	change a branch dest'n 
;C   	#               	ud1 -- ud2                    	convert 1 digit of output 
;C   	#>              	ud1 -- c-addr u               	end conv., get string 
;Z   	#INIT           	-- n                          	#bytes of user area init data 
;C   	#S              	ud1 -- ud2                    	convert remaining digits 
;C   	'               	-- xt                         	find word in dictionary 
;Z   	'SOURCE         	-- a-addr                     	two cells: len, adrs 
;C   	(               	--                            	skip input until ) 
;Z   	(+loop)         	n -- R: sys1 sys2 -- | sys1 sys2	run-time code for +LOOP 
;Z   	(DOES>)         	--                            	run-time action of DOES> 
;C   	(EMIT)          	c --                          	output character to console; core routine 
;Z   	(IS")           	-- c-addr u                   	run-time code for S" 
;C   	(KEY)           	-- c                          	get character from keyboard; core routine 
;Z   	(S")            	-- c-addr u                   	run-time code for S" 
;X   	(U.R)           	u n -- xxx                    	display u unsigned in n width; primitiv 
;Z   	(do)            	n1|u1 n2|u2 -- R: -- sys1 sys2	run-time code for DO 
;Z   	(loop)          	R: sys1 sys2 -- | sys1 sys2   	run-time code for LOOP 
;C   	*               	n1 n2 -- n3                   	signed multiply 
;C   	*/              	n1 n2 n3 -- n4                	n1*n2/n3 
;C   	*/MOD           	n1 n2 n3 -- n4 n5             	n1*n2/n3, rem&quot 
;C   	+               	n1/u1 n2/u2 -- n3/u3          	add n1+n2 
;C   	+!              	n/u a-addr --                 	add cell to memory 
;C   	+LOOP           	adrs -- L: 0 a1 a2 .. aN --   	finish a loop 
;C   	,               	x --                          	append cell to dict 
;Z   	,BRANCH         	xt --                         	append a branch instruction 
;Z   	,CALL           	adrs --                       	append a subroutine CALL 
;Z   	,CF             	adrs --                       	append a code field 
;Z   	,DEST           	dest --                       	append a branch address 
;Z   	,EXIT           	--                            	append hi-level EXIT action 
;Z   	,JMP            	adrs --                       	append an absolute 16-bit JMP 
;Z   	,NONE           	--                            	append a null destination (Flashable) 
;C   	-               	n1/u1 n2/u2 -- n3/u3          	subtract n1-n2 
;C   	.               	n --                          	display n signed 
;C   	."              	--                            	compile string to print 
;X   	.S              	--                            	print stack contents 
;Z   	.VER            	--                            	type message 
;C   	/               	n1 n2 -- n3                   	signed divide 
;C   	/MOD            	n1 n2 -- n3 n4                	signed divide/rem'dr 
;X   	/STRING         	a u n -- a+n u-n              	trim string 
;C   	0<              	n -- flag                     	true if TOS negative 
;C   	0=              	n/u -- flag                   	return true if TOS=0 
;X   	0U.R            	u n --                        	display u unsigned in n width with leading zeros 
;Z   	1#              	n --                          	type 1 digit 
;C   	1+              	n1/u1 -- n2/u2                	add 1 to TOS 
;C   	1-              	n1/u1 -- n2/u2                	subtract 1 from TOS 
;U   	1KHZ            	--                            	1 kHz frequency, 50% duty cycle 
;U   	1KHZ25          	--                            	1 kHz frequency, 25% duty cycle 
;U   	1KHZ5           	--                            	1 kHz frequency, 5% duty cycle 
;U   	1MS             	--                            	wait about 1 millisecond 
;C   	2!              	x1 x2 a-addr --               	store 2 cells 
;Z   	2#              	n --                          	type 2 digits 
;C   	2*              	x1 -- x2                      	arithmetic left shift 
;C   	2/              	x1 -- x2                      	arithmetic right shift 
;C   	2@              	a-addr -- x1 x2               	fetch 2 cells 
;C   	2CONSTANT       	<name> w1 w2 --               	define a Forth double constant 
;C   	2DROP           	x1 x2 --                      	drop 2 cells 
;C   	2DUP            	x1 x2 -- x1 x2 x1 x2          	dup top 2 cells 
;C   	2OVER           	x1 x2 x3 x4 -- x1 x2 x3 x4 x1 x2	per diagram 
;C   	2SWAP           	x1 x2 x3 x4 -- x3 x4 x1 x2    	per diagram 
;Z   	4#              	n --                          	type 4 digits 
;U   	4shiftl         	--                            	shift value in OUTV to the left one nibble (up) 
;U   	50HZ            	--                            	50 Hz frequency, 50% duty cycle 
;C   	:               	--                            	begin a colon definition 
;C   	;               	--                            	end a colon definition 
;Z   	;PN             	--                            	send delimiter ; followed by parameter 
;C   	<               	n1 n2 -- flag                 	test n1<n2, signed 
;C   	<#              	--                            	begin numeric conversion 
;X   	<>              	x1 x2 -- flag                 	test not eq (not ANSI) 
;Z   	<BUILDS         	--                            	define a word with t.b.d. action & no data 
